0,#zm_towers_default,7#,7#,7#,#,#,#,#,#,#,#,#,#
1,#whats_the_point,7#zmtrials/whats_the_point,7#zmtrials/whats_the_point_desc,7#,#damage_drains_points,#100,#,#,#,#,#,#,#
2,#hash_6a169738c6691e01,7#hash_1cc4303a4301c66,7#hash_43c5dc7745aea596,7#,#sprinters_only,#,#,#,#,#,#,#,#
3,#shoot_straight,7#zmtrials/shoot_straight,7#zmtrials/shoot_straight_desc,7#,#hash_4043192ca121b4d4,#50,#,#,#,#,#,#,#
4,#ride_shotgun,7#zmtrials/ride_shotgun,7#zmtrials/ride_shotgun_desc,7#,#restrict_loadout,#hash_33380540d3ae5004,#,#,#,#,#,#,#
5,#shielded,7#zmtrials/shielded,7#zmtrials/shielded_desc,7#,#acquire_weapon,#zhield_zword_dw,#,#,#,#,#,#,#
6,#open_sesame,7#zmtrials/open_sesame,7#zmtrials/open_sesame_desc,7#,#open_all_doors,#,#,#,#,#,#,#,#
7,#shields_up,7#zmtrials/shields_up,7#zmtrials/shields_up_desc,7#,#restrict_loadout,#shield,#,#,#,#,#,#,#
8,#creeper,7#zmtrials/creeper,7#zmtrials/creeper_desc,7#,#hash_64d77357e69aee75,#crouch,#,#,#,#,#,#,#
9,#ix_lives,7#zmtrials/ix_lives,7#zmtrials/ix_lives_desc,7#,#hash_6c9de9db7f3e44a3,#hash_5fea2159d1a2a904,#gladiator,#9,#hash_f7011df2ad413b5,#zone_starting_area_center,#,#,#
10,#hash_6ab5543f25d2b74b,7#hash_55e02dd5d39f9106,7#hash_5807dc4b69518bf6,7#,#defend_area,#hash_aefdadde0c31697,#hash_7cd92738d04c1625,#hash_79cbb781f15087ce,#zone_pap_room,#zone_pap_room_balcony_flooded_crypt,#,#,#
10,#,7#,7#,7#,#give_reward,#hash_20e770cec441c9f2,#hash_3ad6fd4b554f42a0,#uie_trial_medal_bronze,#hash_6dd1118d38426588,#,#,#,#
11,#shoot_from_the_hip,7#zmtrials/shoot_from_the_hip,7#zmtrials/shoot_from_the_hip_desc,7#,#no_ads,#,#,#,#,#,#,#,#
12,#slowpoke,7#zmtrials/slowpoke,7#zmtrials/slowpoke_desc,7#,#no_sprint,#,#,#,#,#,#,#,#
13,#pack_single,7#zmtrials/pack_it_in,7#zmtrials/pack_it_in_desc,7#,#use_pack_a_punch,#2,#,#,#,#,#,#,#
14,#board_to_death,7#zmtrials/board_to_death,7#zmtrials/board_to_death_desc,7#,#repair_boards,#hash_cef88785ed00590,#1000,#1000,#1000,#1000,#,#,#
15,#temple_of_gloom,7#hash_4445fe38241c1416,7#hash_58a35778e95f4ce6,7#,#defend_area,#hash_7f2488fc28418f5d,#hash_7cd92738d04c1625,#hash_79cbb781f15087ce,#zone_zeus_basement,#,#,#,#
16,#perks_of_the_job,7#zmtrials/perks_of_the_job,7#zmtrials/perks_of_the_job_desc,7#,#acquire_perks,#3,#,#,#,#,#,#,#
17,#shotgun_wedding,7#zmtrials/shotgun_wedding,7#zmtrials/shotgun_wedding_desc,7#,#restrict_loadout,#hash_33380540d3ae5004,#,#,#,#,#,#,#
18,#heads_up,7#zmtrials/heads_up,7#zmtrials/heads_up_desc,7#,#headshots_only,#,#,#,#,#,#,#,#
19,#ix_minutes_of_hell,7#zmtrials/ix_minutes_of_hell,7#zmtrials/ix_minutes_of_hell_desc,7#,#timed_round,#hash_6e1d873c28de9fc2,#15,#540,#,#,#,#,#
20,#defend_arena,7#hash_5bbb940392f0ba96,7#hash_138e5af4b40cb066,7#,#defend_area,#hash_59a38e967b630b61,#hash_495112655250e1cf,#hash_16c301550a06a27c,#zone_starting_area_center,#zone_starting_area_ra,#zone_starting_area_odin,#zone_starting_area_zeus,#zone_starting_area_danu
20,#,7#,7#,7#,#activate_hazards,#,#,#,#,#,#,#,#
20,#,7#,7#,7#,#give_reward,#hash_20e46acec43f89e9,#hash_46044d0ce4567ceb,#uie_trial_medal_silver,#hash_461f4cde5d994295,#,#,#,#
21,#you_made_your_points,7#zmtrials/you_made_your_points,7#zmtrials/you_made_your_points_desc,7#,#damage_drains_points,#10,#,#,#,#,#,#,#
22,#pack_mule,7#zmtrials/packing_heat,7#zmtrials/packing_heat_desc,7#,#upgrade_multiple,#2,#4,#,#,#,#,#,#
23,#easy_tiger,7#zmtrials/easy_tiger,7#zmtrials/easy_tiger_desc,7#,#add_special,#tiger,#35,#60,#110,#150,#,#,#
24,#feeling_trapped,7#zmtrials/feeling_trapped,7#zmtrials/feeling_trapped_desc,7#,#hash_2f8add191c45a722,#25,#50,#75,#100,#,#,#,#
25,#into_the_pit,7#zmtrials/into_the_pit,7#zmtrials/into_the_pit_desc,7#,#defend_area,#hash_139b16ee1081d55f,#hash_45051e519608364d,#hash_546cecc8a2657056,#zone_body_pit,#,#,#,#
26,#weapon_roulette,7#zmtrials/weapon_roulette,7#zmtrials/weapon_roulette_desc,7#,#weapon_rotation,#20,#0,#,#,#,#,#,#
26,#,7#,7#,7#,#disable_buys,#,#,#,#,#,#,#,#
27,#give_it_your_best_shotgun,7#zmtrials/give_it_your_best_shotgun,7#zmtrials/give_it_your_best_shotgun_desc,7#,#restrict_loadout,#hash_33380540d3ae5004,#,#,#,#,#,#,#
28,#perk_o_late,7#zmtrials/perk_o_late,7#zmtrials/perk_o_late_desc,7#,#acquire_perks,#4,#,#,#,#,#,#,#
29,#the_whole_ix_yards,7#zmtrials/the_whole_ix_yards,7#zmtrials/the_whole_ix_yards_desc,7#,#moving_hill,#hash_37514adf61bfa9bd,#hash_153a0039527202c5,#hash_2d3dde1bca17572e,#30,#30,#,#,#
30,#hash_35f243719e8e8279,7#hash_7c9932ec97180186,7#hash_71ac572216fa0d76,7#,#towers_boss,#,#,#,#,#,#,#,#
30,#,7#,7#,7#,#give_reward,#fastest_time_to_complete_round_30,#hash_f60cd1936dfe2ae,#uie_trial_medal_gold,#hash_3499a1ccc18c05aa,#hash_50d31f5c1693d096,#1,#,#